horizon,median,pctl_84,pctl_16,variable,model
32,-0.0039039785997593106,0.007284622180076961,-0.0169991700558269,inflation,bayesian_fd
33,-0.004454914676356279,0.006855084206070268,-0.01661729126659423,inflation,bayesian_fd
34,-0.004891605788786879,0.00597848718325001,-0.01624839979340839,inflation,bayesian_fd
35,-0.004929639597007618,0.005707601815976616,-0.01623078198892242,inflation,bayesian_fd
36,-0.005191564798360948,0.0052023111302128165,-0.01612653152815631,inflation,bayesian_fd
37,-0.005523962203008039,0.004873971287759571,-0.016024550157675246,inflation,bayesian_fd
38,-0.005436457427040957,0.004415652380460079,-0.015819474986359168,inflation,bayesian_fd
39,-0.005511674131147414,0.004075142497761336,-0.015855957305518142,inflation,bayesian_fd
40,-0.005570099120952089,0.0036833695252027603,-0.01588327243005154,inflation,bayesian_fd
1,-0.37795962856109044,-0.3102558023559675,-0.4383043035085709,productivity,bayesian_fd
